iteration,latency_ms
0,365.7884590065805
1,432.46675000409596
2,412.2847079997882
3,758.652082993649
4,410.482959006913
5,505.1877079968108
6,502.5122920051217
7,383.52149999991525
8,309.0539590048138
9,308.45204199431464
10,322.5110420025885
11,305.7867500028806
12,305.6711249955697
13,301.6945409908658
14,305.8327499893494
15,421.63670899753924
16,319.7249580116477
17,308.66508300823625
18,314.05100000847597
19,311.73724999825936
20,371.11212499439716
21,382.2448339924449
22,406.9327500037616
23,444.21616599720437
24,473.262874991633
25,658.9917079982115
26,365.4584580071969
27,373.2400000008056
28,312.946040998213
29,322.9671660083113
30,322.9866250039777
31,308.3072089939378
32,320.61641599284485
33,312.83704200177453
34,307.3780410049949
35,329.99062500311993
36,409.35375000117347
37,307.03291700046975
38,303.43975000141654
39,412.61304200452287
40,355.560832991614
41,399.7841249947669
42,569.2918749991804
43,831.4547080080956
44,713.2813330099452
45,460.17362500424497
46,359.34804199496284
47,307.70537500211503
48,408.4842500014929
49,306.7248339939397
50,409.31920800358057
51,410.3283750009723
52,306.26037500042
53,410.6599999940954
54,321.6213749983581
55,303.61687499680556
56,398.3825410105055
57,407.1545420010807
58,721.4771250000922
59,455.114374999539
60,690.5590420064982
61,512.5459999981103
62,457.79833299457096
63,340.56929100188427
64,357.31695899448823
65,357.7445829869248
66,304.39312499947846
67,411.16745899489615
68,301.7637499870034
69,314.39299999328796
70,307.0019579899963
71,311.79225000960287
72,402.45470800437033
73,411.795665990212
74,408.63754200108815
75,410.3767920023529
76,716.1035420140252
77,384.2357079993235
78,477.10637499403674
79,388.1894590012962
80,400.9504160057986
81,386.34799999999814
82,352.66945899638813
83,375.3324999997858
84,412.08175000792835
85,410.6482080096612
86,407.49245800543576
87,410.1033340120921
88,311.3874590053456
89,309.81858300219756
90,400.34508299140725
91,310.23533300322015
92,408.2628750038566
93,413.8245419890154
94,407.12391599663533
95,485.01545799081214
96,407.03612500510644
97,398.4167499875184
98,760.540667004534
99,465.60662500269245
