iteration,latency_ms
0,306.42475000058766
1,567.1679170045536
2,297.6577079971321
3,367.1876250009518
4,285.3431669936981
5,325.87545800197404
6,286.3265829946613
7,283.73058400757145
8,284.1001250053523
9,374.74312499398366
10,286.7945839971071
11,284.86945798795205
12,344.06795899849385
13,316.0584590077633
14,302.8866659878986
15,309.57349999516737
16,283.73479199944995
17,316.0517499927664
18,321.23945900821127
19,309.46212500566617
20,407.1625829965342
21,409.1743330063764
22,386.5125000011176
23,330.1770830003079
24,409.6660420036642
25,308.06125000526663
26,288.7830830004532
27,285.61279199493583
28,285.7295829890063
29,288.0233330070041
30,388.78316699992865
31,307.81979201128706
32,304.1655830020318
33,287.62866600300185
34,327.2952919942327
35,310.01754199678544
36,304.9469580000732
37,308.64629200368654
38,305.3856670012465
39,284.86387500015553
40,286.5099999908125
41,353.51287499361206
42,303.8324999943143
43,409.5356659963727
44,440.4718750010943
45,379.10420799744315
46,421.3847499922849
47,314.0042919985717
48,365.99500000011176
49,300.2117080031894
50,299.76199999509845
51,347.5747920019785
52,292.8025000001071
53,377.4344159901375
54,287.48058299242985
55,372.50637500255834
56,321.531874986249
57,292.28650000004563
58,284.68791701016016
59,330.0273329950869
60,308.49204199330416
61,307.09200000273995
62,286.25625000859145
63,329.69508299720474
64,305.4663749935571
65,306.13804201129824
66,308.0981250095647
67,410.12704200693406
68,335.38875001249835
69,382.7882080076961
70,407.72654199099634
71,337.86958300333936
72,378.37670899170917
73,408.8599999959115
74,294.1417499969248
75,284.0842080040602
76,287.58941699925344
77,282.9987919976702
78,389.9579170101788
79,307.1727919887053
80,284.27566699974705
81,328.3660000015516
82,307.9251250019297
83,307.83370800781995
84,285.060499998508
85,288.04745800152887
86,284.3147920066258
87,355.2237499970943
88,297.9117919894634
89,331.9600420072675
90,409.375250004814
91,307.1838750038296
92,408.564875004231
93,343.68233299755957
94,298.23025000223424
95,383.3977500034962
96,284.16095799184404
97,331.8857080012094
98,285.54633299063426
99,325.8210830099415
