iteration,latency_ms
0,908.7402500008466
1,900.5597079958534
2,997.5489169883076
3,965.6079999986105
4,1005.7639589940663
5,901.7131669970695
6,905.4910000122618
7,899.9064590025228
8,915.6225420010742
9,901.9667919928906
10,901.166291005211
11,903.5594170127297
12,976.0727910033893
13,1284.8680000024615
14,920.5951250041835
15,909.9862500006566
16,965.0995830015745
17,910.0586249987828
18,914.2317920050118
19,899.7854170011124
20,897.1352499938803
21,897.8323329938576
22,903.0452919978416
23,904.9629170040134
24,978.3337920089252
25,902.3005420021946
26,1007.8177910036175
27,1425.7366670062765
28,972.5409579987172
29,911.7210830008844
30,910.4741670016665
31,968.0754170112778
32,899.1847089928342
33,907.3932080063969
34,926.8632080056705
35,965.5680840078276
36,928.0395829991903
37,1203.846832999261
38,966.0673750040587
39,1017.3432080046041
40,1111.9204169954173
41,1518.0021670093993
42,1090.0396249926416
43,965.1210419979179
44,921.4834589947714
45,900.7852920040023
46,901.8753749987809
47,897.6401670079213
48,898.020666994853
49,898.9241250092164
50,904.4269580044784
51,897.3558339930605
52,892.994167006691
53,905.1309170026798
54,1087.1732909872662
55,1616.0449580056593
56,1597.9091249901103
57,1685.7747079920955
58,1518.0174589913804
59,1595.3439580043778
60,1603.1495409988565
61,1796.9850420049625
62,1592.284500002279
63,1597.3244170018006
64,1600.9227500035195
65,1601.8582499964396
66,1694.1233749967068
67,1718.3072500047274
68,1598.4837080031866
69,1674.7449999966193
70,1608.4702920052223
71,1595.9845409961417
72,1601.045499992324
73,1315.0274999934481
74,1221.60679200897
75,1075.9157919965219
76,904.9036250071367
77,1009.3816669977969
78,1008.6799999990035
79,960.0964999990538
80,898.6525000073016
81,903.1362079986138
82,911.8783329904545
83,898.9811249921331
84,904.0893749915995
85,898.5205829958431
86,896.5127080009552
87,904.2940840008669
88,910.962332985946
89,985.7872499997029
90,906.63745799975
91,914.9759159918176
92,895.7368749979651
93,912.0533339882968
94,966.499375004787
95,905.7327500049723
96,900.0061249971623
97,896.3168340123957
98,888.9157919911668
99,919.7766669967677
