iteration,latency_ms
0,6351.302792012575
1,7372.062541995547
2,6245.476582989795
3,9119.569417001912
4,6242.211208998924
5,6348.018292002962
6,7884.493833000306
7,5546.671291987877
8,8176.914708004915
9,5786.054917000001
10,6091.237208995153
11,7008.5190840036375
12,7637.060249995557
13,8280.77591699548
14,6873.448708996875
15,8291.556208001566
16,6146.2903339997865
17,7577.6541250088485
18,5917.562625007122
19,5082.917500010808
20,7119.316332988092
21,7380.274833005387
22,7589.738667011261
23,5784.427124992362
24,6794.929707990377
25,7269.301417007227
26,6669.6438750077505
27,6093.843708003988
28,6082.727874992997
29,8123.861957996269
30,6822.882459004177
31,4914.930083003128
32,7237.5263330031885
33,6313.302082999144
34,7897.492874995805
35,6506.296249994193
36,7682.613416996901
37,5295.027999993181
38,9445.426874997793
39,6353.909790996113
40,8190.832000007504
41,6147.147833005874
42,5684.447624997119
43,5698.942874994827
44,6358.614750002744
45,7839.411958993878
46,6987.531917009619
47,8733.556040999247
48,6560.346541999024
49,7532.405334000941
50,6245.578665999346
51,7886.542708001798
52,6141.9059580075555
53,5799.473125007353
54,5902.556540997466
55,6005.125290990691
56,9316.185042000143
57,6256.6664579935605
58,6860.992040994461
59,6461.940167006105
60,7932.660582999233
61,6701.594750004006
62,7799.165874996106
63,6024.193791003199
64,8601.961834006943
65,6257.962791991304
66,6232.835165996221
67,7164.712583995424
68,5509.9510840082075
69,6009.079791008844
70,6815.409125003498
71,7461.995958001353
72,6025.96316600102
73,7950.047917009215
74,8561.621124987141
75,6988.64795800182
76,6121.269374998519
77,5449.252082995372
78,6237.095625008806
79,6541.142540998408
80,6553.139083000133
81,7398.641874999157
82,7576.870582997799
83,7681.285708997166
84,6554.916166991461
85,7961.811624991242
86,5993.420250000781
87,4993.925125003443
88,5908.50020799553
89,6041.404332994716
90,7678.8314590085065
91,8910.53408299922
92,6245.166209002491
93,7939.454750012374
94,6610.032791009871
95,7876.198250000016
96,6889.9165830080165
97,7110.645792010473
98,7726.879541005474
99,7559.329875002732
