iteration,latency_ms
0,341.9131670088973
1,375.97137500415556
2,312.80050000350457
3,313.587083001039
4,286.36075000395067
5,286.09995800070465
6,286.55191700090654
7,285.8073749957839
8,283.8289579958655
9,286.65416699368507
10,284.50937500747386
11,342.406583004049
12,306.62233399925753
13,308.94087499473244
14,306.1407089990098
15,307.1156660007546
16,288.0393340019509
17,284.4891659915447
18,350.27120799350087
19,307.66637501074
20,406.86820799601264
21,307.29599999904167
22,411.24433299410157
23,306.6513750090962
24,307.06049999571405
25,345.49204200448
26,321.387334013707
27,356.51908299769275
28,309.1270420118235
29,306.2279169971589
30,306.1264590069186
31,285.68012500181794
32,331.4576250122627
33,306.00891599897295
34,285.34529099124484
35,286.2315839884104
36,284.9991249968298
37,371.6816660016775
38,283.85808400344104
39,330.39679199282546
40,307.760416995734
41,290.3532089985674
42,323.7557079992257
43,408.2327499927487
44,304.6310839999933
45,412.12383400124963
46,409.57049999269657
47,409.41620800003875
48,411.72374998859596
49,307.45983400265686
50,408.2309579971479
51,307.21237500256393
52,307.60266599827446
53,305.73454199475236
54,309.78624999988824
55,306.506332999561
56,286.06804099399596
57,327.6147909928113
58,285.609165992355
59,330.6699579989072
60,305.5749999912223
61,307.04666700330563
62,287.14149999723304
63,285.13099999690894
64,348.32233299675863
65,307.28479199751746
66,309.4002500001807
67,408.10174999933224
68,330.8321660006186
69,386.7681670089951
70,361.3975829939591
71,353.86162500071805
72,296.0016249999171
73,301.77258400362916
74,323.87958400067873
75,308.02916700486094
76,308.5425419994863
77,285.3218329983065
78,285.4472080070991
79,350.3042919910513
80,287.11029200349003
81,326.54779200674966
82,286.2652499898104
83,325.4485409997869
84,310.6322499952512
85,305.0105409929529
86,308.6302499868907
87,284.4482920045266
88,287.0925419993
89,348.7501659983536
90,308.6026670061983
91,408.31020900805015
92,409.5187079947209
93,359.68912500538863
94,402.38808300637174
95,365.4794580070302
96,408.5682500008261
97,308.94179100869223
98,306.76312500145286
99,307.09579099493567
