iteration,latency_ms
0,148.11158301017713
1,146.0530419863062
2,145.74629200797062
3,146.68854199408088
4,145.53495799191296
5,142.36187499773223
6,144.38470800814684
7,145.21358300407883
8,146.55229198979214
9,142.64533299137838
10,144.3826250033453
11,143.58083400293253
12,146.22016699286178
13,147.99866599787492
14,144.41866599372588
15,156.813791996683
16,145.39395899919327
17,143.5669170023175
18,145.92091699887533
19,145.31145799264777
20,150.08929099712986
21,150.17679099400993
22,155.840374995023
23,145.9388340008445
24,146.7298329953337
25,147.2262919996865
26,146.17770799668506
27,157.1661670022877
28,152.95829199021682
29,149.24804099428002
30,145.35287499893457
31,144.83012499113102
32,147.628499995335
33,149.09554200130515
34,156.6755829990143
35,155.3600000042934
36,148.22962500329595
37,147.98466699721757
38,146.89079199160915
39,153.14854099415243
40,148.301541004912
41,144.01116699445993
42,152.94916699349415
43,147.64145799563266
44,147.49279200623278
45,149.5991249976214
46,148.0130419950001
47,145.56079100293573
48,149.7517920070095
49,242.97820799984038
50,148.0946249939734
51,144.36145799118094
52,145.1624589972198
53,147.51075000094716
54,154.2128339933697
55,148.8009580061771
56,148.48683298623655
57,146.5675000072224
58,145.97308399970643
59,147.74508400296327
60,145.34733300388325
61,150.62179099186324
62,151.104332995601
63,151.20916700107045
64,146.21712500229478
65,147.67833400401287
66,147.3169590026373
67,144.30841700232122
68,147.00970800186042
69,152.14120800374076
70,152.31933401082642
71,145.18283399229404
72,145.01237499644049
73,148.26854100101627
74,144.20166600029916
75,143.2754580018809
76,148.41633298783563
77,145.97891599987634
78,144.70583300862927
79,145.3872090060031
80,146.81933299289085
81,144.5721250056522
82,143.7740830006078
83,146.82420798635576
84,148.01900000020396
85,145.53200000955258
86,146.82829201046843
87,146.22024999698624
88,149.00562500406522
89,145.87866600777488
90,149.30083299987018
91,150.08129199850373
92,145.55274999293033
93,153.17787499225233
94,145.66725000622682
95,150.61325000715442
96,146.89441600057762
97,150.4344580025645
98,147.51833300397266
99,146.8674589996226
