iteration,latency_ms
0,314.7535829921253
1,310.6385420105653
2,380.7331670104759
3,391.64716699451674
4,315.530249994481
5,385.4247499984922
6,323.79533399944194
7,305.7180000032531
8,392.8229159937473
9,370.0428330048453
10,317.9797500051791
11,307.74791599833407
12,310.9977499989327
13,364.37595800089184
14,322.88879199768417
15,379.77595800475683
16,312.8743330016732
17,381.38279199483804
18,334.5555000123568
19,376.81754199729767
20,313.06195798970293
21,369.6328329970129
22,320.37908300117124
23,315.50887499179225
24,361.8152090057265
25,312.5344579893863
26,308.0647499882616
27,387.06587500928435
28,314.1840000025695
29,305.8431249955902
30,313.3206659986172
31,304.9522090004757
32,389.3348749988945
33,365.86041600094177
34,312.92304198723286
35,309.1040419967612
36,313.84037499083206
37,310.16654199629556
38,361.99629100156017
39,312.06316700263415
40,304.84679200162645
41,308.2271250023041
42,311.25241599511355
43,360.55112500616815
44,305.44825000106357
45,309.57937499624677
46,311.2288329866715
47,309.2044170043664
48,312.32104200171307
49,356.08966699510347
50,305.4639999900246
51,311.9951659900835
52,308.35866699635517
53,307.4494579923339
54,302.9974579985719
55,362.2642919945065
56,312.5374589872081
57,307.94741699355654
58,314.2857499915408
59,364.7654170054011
60,309.0892500040354
61,317.229916996439
62,304.90983300842345
63,366.7284999974072
64,318.26854099927004
65,314.1432080010418
66,310.910457992577
67,354.94545800611377
68,307.08516600134317
69,317.792959001963
70,312.43316699692514
71,368.3567920088535
72,311.30379099340644
73,315.9319999977015
74,306.9922080030665
75,365.4426249995595
76,314.6680420031771
77,313.2319589931285
78,305.4482910083607
79,358.9143330027582
80,308.3313749957597
81,312.28120799642056
82,308.8521669997135
83,310.808916008682
84,363.03283300367184
85,312.41108301037457
86,313.2100829971023
87,391.5442500001518
88,1401.2971670017578
89,1178.1337919965154
90,902.4008330015931
91,735.7240419951268
92,371.2722919881344
93,308.54241699853446
94,307.6639159990009
95,314.15808299789205
96,362.4028749909485
97,315.7267079950543
98,318.40912500047125
99,307.39241700212006
