iteration,latency_ms
0,335.54508301313035
1,410.26870798668824
2,323.1049999885727
3,341.52079198975116
4,373.4480419952888
5,306.4542909996817
6,330.5790410086047
7,348.5873750032624
8,301.14833399420604
9,298.1085420033196
10,346.1087920004502
11,307.23291700996924
12,278.54133398795966
13,289.83483399497345
14,352.73387499910314
15,289.11566598981153
16,278.7209999951301
17,354.0072079922538
18,279.09250000084285
19,335.70162499381695
20,307.0300830004271
21,306.8366670049727
22,307.5699580076616
23,308.47308300144505
24,740.6201669946313
25,319.88316698698327
26,371.3224579987582
27,409.671832996537
28,319.88866699975915
29,313.5389170056442
30,391.0313750093337
31,279.7448330093175
32,334.10941700276453
33,278.1238330062479
34,336.8095000041649
35,278.69424999516923
36,278.6433749861317
37,279.27591699699406
38,279.61583400610834
39,317.43712500610854
40,308.75825000111945
41,305.4039169946918
42,306.7732920026174
43,307.77945899171755
44,307.13429099705536
45,306.81658400862943
46,306.9978749990696
47,307.69458299619146
48,307.02749999181833
49,409.62220799701754
50,310.3754170006141
51,303.71037499571685
52,308.2781669945689
53,367.41662499844097
54,286.3318339950638
55,308.02662500354927
56,368.76658399705775
57,279.2488749983022
58,278.3592920022784
59,279.92299999459647
60,278.4544169990113
61,317.1684999979334
62,280.5527919990709
63,281.78291699441615
64,279.8406670044642
65,277.9198750067735
66,279.2572500038659
67,277.67933400173206
68,278.8284590060357
69,278.142791998107
70,279.2159159871517
71,279.2859170003794
72,291.63420900295023
73,308.963749994291
74,311.2132909882348
75,283.3886669977801
76,334.23087499977555
77,348.37362499092706
78,347.6259159942856
79,309.15683299826924
80,305.5951249989448
81,307.1178329992108
82,307.23841600411106
83,280.16908299468923
84,287.7670830057468
85,279.47083400795236
86,280.13533299963456
87,277.57262499653734
88,277.2879169933731
89,277.78866699372884
90,278.1235000002198
91,278.77579200139735
92,346.440834007808
93,310.44445899897255
94,307.7676669927314
95,306.75108400464524
96,306.9819170050323
97,327.65849999850616
98,326.4527089922922
99,374.3900409899652
